kategori,alt_kategori,urun_adi,fiyat,birim,miktar
Atıştırmalık,Cips,Ruffles Originals Sade Patates Cipsi Parti Boy ,49.99,1,
Atıştırmalık,Cips,Gazoz & Doritos ,65.5,1,
Atıştırmalık,Cips,Cheetos Üçlüsü,43.5,1,
Atıştırmalık,Cips,Master Potato & Schweppes Paketi,118.5,1,
Atıştırmalık,Cips,Yedigün & Ruffles ,68.5,1,
Atıştırmalık,Cips,Chili Baharatlı Nohut Cipsi & Cola Zero İkilisi,80.5,1,
Atıştırmalık,Cips,Çipo Pirinç Patlağı Paketi,93.5,1,
Atıştırmalık,Cips,Eti Gong Mısır ve Pirinç Patlağı,60.99,1,
Atıştırmalık,Cips,Doritos Shots Flamin' Hot Acı Biberli ve Peynirli Cips 3 x 30 g,16.5,1,
Atıştırmalık,Cips,Patos Paketi,115.5,1,
Atıştırmalık,Cips,Züber Noutos & Coca Cola İkilisi,75.5,1,
Atıştırmalık,Cips,Ege Baharatlı Nohut Cipsi & Cola Zero İkilisi,80.5,1,
Atıştırmalık,Cips,Saf Nutrition Protein Cips İkilisi,122.99,1,
Atıştırmalık,Cips,Ruffles Originals Patates Cipsi Süper Boy,38.99,1,
Atıştırmalık,Cips,Lay's Fırından Yoğurt Mevsim Yeşillikleri Patates Cipsi,49.99,1,
Atıştırmalık,Cips,Lay's Klasik Patates Cipsi Parti Boy,49.99,1,
Atıştırmalık,Cips,Lay's Klasik Patates Cipsi Mega Boy,59.5,1,
Atıştırmalık,Cips,Lay's Baharatlı Patates Cipsi Parti Boy ,49.99,1,
Atıştırmalık,Cips,Lay's Klasik Patates Cipsi ,21.99,1,
Atıştırmalık,Cips,Lay's Klasik Patates Cipsi Süper Boy,38.99,1,
Atıştırmalık,Cips,Lay's Baharat Patates Cipsi Süper Boy,38.99,1,
Atıştırmalık,Cips,Lay's Yoğurt Mevsim & Yeşillikli Patates Cipsi Süper Boy ,38.99,1,
Atıştırmalık,Cips,Lay's Fırından Yoğurt Mevsim Yeşillikleri Patates Cipsi ,38.99,1,
Atıştırmalık,Cips,Lay's Tuz ve Sirke Aromalı Patates Cipsi,40.99,1,
Atıştırmalık,Cips,Doritos Taco Mısır Cipsi Aile Boy ,21.99,1,
Atıştırmalık,Cips,Lay's Fırından 7 Baharat Çeşnili Patates Çerezi,40.99,1,
Atıştırmalık,Cips,Doritos Shots Flamin' Hot Acı Biberli ve Peynirli Mısır Cipsi,10.99,1,
Atıştırmalık,Cips,Doritos Shots Taco Baharatlı Mısır Cipsi,10.99,1,
Atıştırmalık,Cips,Doritos Taco Mısır Cipsi Süper Boy,37.99,1,
Atıştırmalık,Cips,Doritos Taco Mısır Cipsi Parti Boy,48.99,1,
Atıştırmalık,Cips,Doritos Taco Mısır Cipsi Mega Boy,58.5,1,
Atıştırmalık,Cips,Doritos Nacho Mısır Cipsi Parti Boy,48.99,1,
Atıştırmalık,Cips,Doritos Nacho Mısır Cipsi Süper Boy,37.99,1,
Atıştırmalık,Cips,Doritos Hot Corn Mısır Cipsi Süper Boy,37.99,1,
Atıştırmalık,Cips,Cheetos Flamin Hot Acı Biberli vePeynirli Mısır Çerezi Süper Boy ,39.99,1,
Atıştırmalık,Cips,Doritos Dippas Tuzlu Mısır Cipsi Parti Boy,47.99,1,
Atıştırmalık,Cips,Doritos Shots Mexicano Acı Baharatlı Mısır Cipsi,10.99,1,
Atıştırmalık,Cips,Doritos Flamin' Hot Mısır Cipsi Süper Boy,39.5,1,
Atıştırmalık,Cips,Doritos Extreme Acı Baharatlı Mısır Cipsi Süper Boy,37.99,1,
Atıştırmalık,Cips,Ruffles Originals Patates Cipsi,21.99,1,
Atıştırmalık,Cips,Doritos Turca Haşhaş Domates Mısır Cipsi Süper Boy,37.99,1,
Atıştırmalık,Cips,Ruffles Originals Patates Cipsi Mega Boy,59.5,1,
Atıştırmalık,Cips,Ruffles Mangal Patates Cipsi Süper Boy ,40.99,1,
Atıştırmalık,Cips,Ruffles Ketçaplı Patates Cipsi Parti Boy ,49.99,1,
Atıştırmalık,Cips,Ruffles Ketçaplı Patates Cipsi Süper Boy ,38.99,1,
Atıştırmalık,Cips,Ruffles Peynir ve Soğan Patates Cipsi Süper Boy,38.99,1,
Atıştırmalık,Cips,Aypop Klasik Patlamış Mısır Süper Boy,29.99,1,
Atıştırmalık,Cips,Aypop Süt Mısırlı Patlamış Mısır Süper Boy,29.99,1,
Atıştırmalık,Cips,Aypop Acılı Patlamış Mısır Süper Boy,29.99,1,
Atıştırmalık,Cips,Çerezza Popcorn Patlamış Mısır Süper Boy ,27.99,1,
Atıştırmalık,Cips,Çerezza TV Süt Mısır Çerezi Süper Boy ,38.99,1,
Atıştırmalık,Cips,Çerezza Dev Baharatlı Domates Sosu Mısır Çerezi Parti Boy ,45.99,1,
